name,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,cluster,html,id,sh_score
Life On Mars?                                                                                                                                                                    ,Seu Jorge                                       ,0.6616707075159798,0.14798270404889222,0.6058625513683658,1.0,0.048970003614022414,0.8965863453815262,0.0017766497461928932,0.10869787931564391,0.26144603273254613,0.75,2,https://open.spotify.com/track/6CWSXBQ2QwIqtRVDCGZatZ,6CWSXBQ2QwIqtRVDCGZatZ ,0.2373276406554523
Apelo                                                                                                                                                                            ,Brazilian Jazz                                  ,0.4919550363676438,0.25198481529175043,0.6628267902421963,0.0,0.049873509215757145,0.9226907630522089,0.8761421319796954,0.10255096813851042,0.18686554795939506,0.75,3,https://open.spotify.com/track/4az3kPwzJjdQBb8bYaYhy0,4az3kPwzJjdQBb8bYaYhy0 ,0.5025382358789319
"O Que É, O Que É                                                                                                                                                               ",Cesar Camargo Mariano & Romero Lubambo          ,0.7013445007714348,0.3219862363205973,0.6238086910903209,1.0,0.026382363570654127,0.9819277108433735,0.8923857868020304,0.06433767032066388,0.661280298321939,0.75,2,https://open.spotify.com/track/7a1STMihNJUyRxHGxDAFP8,7a1STMihNJUyRxHGxDAFP8 ,0.3262693198599527
Maroca                                                                                                                                                                           ,Mundo Livre                                     ,0.6528543090147675,0.724994417386673,0.8002972807554428,0.0,0.01626310083122516,0.033634538152610444,0.02883248730964467,0.1701669910869788,0.5815206132173192,0.75,5,https://open.spotify.com/track/4JrQ68jT83CXIyVZTHj4Rx,4JrQ68jT83CXIyVZTHj4Rx ,0.5051054345742555
Apelo                                                                                                                                                                            ,Jenny Chi                                       ,0.5195062816839321,0.1529828055509527,0.7078779400192358,1.0,0.023491145645103004,0.926706827309237,0.00013299492385786802,0.11689376088515523,0.14957530557281953,0.75,2,https://open.spotify.com/track/55OpI2p7uXEzsDuhNf7Kzn,55OpI2p7uXEzsDuhNf7Kzn ,0.29632960787366885
Samba Da Minha Terra - Live At Carnegie Hall/1964                                                                                                                                ,Stan Getz                                       ,0.5690985232532509,0.3219862363205973,0.46498207571915706,0.0,0.2808095410191543,0.8825301204819278,0.6020304568527918,0.699825837516648,0.8135487880671224,0.75,3,https://open.spotify.com/track/1BTO5gV9xSAB7EOBKSlcFY,1BTO5gV9xSAB7EOBKSlcFY ,0.18691743496553948
Corcovado                                                                                                                                                                        ,Stan Getz                                       ,0.5184042318712806,0.09018153068507291,0.5691177756404651,0.0,0.04391037224430791,0.9297188755020082,0.007939086294416245,0.2818358774715706,0.3567433188315724,0.75,3,https://open.spotify.com/track/0bQViEvXvH8iNl8hRRkU5o,0bQViEvXvH8iNl8hRRkU5o ,0.2591487058131467
Chega de Saudade                                                                                                                                                                 ,Jenny Chi                                       ,0.7553449415913599,0.36798717013955384,0.7210588441024743,1.0,0.049150704734369347,0.8333333333333334,0.002964467005076142,0.143530375986067,0.5825564532836129,0.75,4,https://open.spotify.com/track/1dtPIHAk2W9tn9WVW6hMzS,1dtPIHAk2W9tn9WVW6hMzS ,0.12268060215747008
Coisa Feita                                                                                                                                                                      ,Toots Thielemans                                ,0.5724046726912057,0.3419866423288393,0.5907799248054559,1.0,0.03505601734730755,0.8825301204819278,0.8253807106598984,0.10050199774613258,0.7814377460120157,0.75,2,https://open.spotify.com/track/7ArXv6K80rPeN38OtKOU00,7ArXv6K80rPeN38OtKOU00 ,0.27227220749111103
Felicia and Bianca                                                                                                                                                               ,Toots Thielemans                                ,0.5679964734405994,0.2739852619008166,0.5645492699134388,0.0,0.04445247560534875,0.6887550200803214,0.34822335025380713,0.09333060137281017,0.6302050963331262,0.75,3,https://open.spotify.com/track/0OSEW45vRnj45QdIpV1NY4,0OSEW45vRnj45QdIpV1NY4 ,0.1348288650590172
